set_id,set_name,theme_name,subtheme_name,theme_group,set_category,is_licensed,release_year,release_decade,num_pieces,num_minifigs,min_age_recommended,us_retail_price,brickset_url,thumbnail_url,image_url
4515-1,straight rails,trains,9v,modern day,normal,False,1991,1990,8,0,0,12.99,https://brickset.com/sets/4515-1,https://images.brickset.com/sets/small/4515-1.jpg,https://images.brickset.com/sets/images/4515-1.jpg
4520-1,curved rails,trains,9v,modern day,normal,False,1991,1990,8,0,0,12.99,https://brickset.com/sets/4520-1,https://images.brickset.com/sets/small/4520-1.jpg,https://images.brickset.com/sets/images/4520-1.jpg
4531-1,manual points with track,trains,9v,modern day,normal,False,1991,1990,6,0,0,27.99,https://brickset.com/sets/4531-1,https://images.brickset.com/sets/small/4531-1.jpg,https://images.brickset.com/sets/images/4531-1.jpg
4548-1,transformer and speed regulator,trains,9v,modern day,normal,False,1991,1990,3,0,0,41.99,https://brickset.com/sets/4548-1,https://images.brickset.com/sets/small/4548-1.jpg,https://images.brickset.com/sets/images/4548-1.jpg
2304-1,large building plate,duplo,unknown,pre-school,normal,False,1992,1990,1,0,1,14.99,https://brickset.com/sets/2304-1,https://images.brickset.com/sets/small/2304-1.jpg,https://images.brickset.com/sets/images/2304-1.jpg
2734-1,straight track (straight rails),duplo,trains,pre-school,normal,False,1993,1990,6,0,0,4.99,https://brickset.com/sets/2734-1,https://images.brickset.com/sets/small/2734-1.jpg,https://images.brickset.com/sets/images/2734-1.jpg
2735-1,curved track (curved rails),duplo,trains,pre-school,normal,False,1993,1990,6,0,0,4.99,https://brickset.com/sets/2735-1,https://images.brickset.com/sets/small/2735-1.jpg,https://images.brickset.com/sets/images/2735-1.jpg
626-1,"building plate, green",basic,supplementaries,basic,normal,False,1996,1990,1,0,4,4.99,https://brickset.com/sets/626-1,https://images.brickset.com/sets/small/626-1.jpg,https://images.brickset.com/sets/images/626-1.jpg
628-1,x-large baseplate grey,basic,supplementaries,basic,normal,False,1996,1990,1,0,0,14.99,https://brickset.com/sets/628-1,https://images.brickset.com/sets/small/628-1.jpg,https://images.brickset.com/sets/images/628-1.jpg
630-1,"brick separator, green",basic,supplementaries,basic,normal,False,1996,1990,1,0,0,2.49,https://brickset.com/sets/630-1,https://images.brickset.com/sets/small/630-1.jpg,https://images.brickset.com/sets/images/630-1.jpg
9833-1,transformer 9 v,dacta,unknown,educational,normal,False,1996,1990,1,0,0,23.99,https://brickset.com/sets/9833-1,https://images.brickset.com/sets/small/9833-1.jpg,https://images.brickset.com/sets/images/9833-1.jpg
6323-1,"road plates, cross",town,accessories,modern day,normal,False,1997,1990,2,0,0,6.99,https://brickset.com/sets/6323-1,https://images.brickset.com/sets/small/6323-1.jpg,https://images.brickset.com/sets/images/6323-1.jpg
2198-1,building plates,duplo,unknown,pre-school,normal,False,1998,1990,3,0,0,6.99,https://brickset.com/sets/2198-1,https://images.brickset.com/sets/small/2198-1.jpg,https://images.brickset.com/sets/images/2198-1.jpg
9279-1,small building plates,dacta,system,educational,normal,False,1998,1990,9,0,0,14.99,https://brickset.com/sets/9279-1,https://images.brickset.com/sets/small/9279-1.jpg,https://images.brickset.com/sets/images/9279-1.jpg
4519-1,rail crossing,trains,9v,modern day,normal,False,1999,1990,1,0,0,9.99,https://brickset.com/sets/4519-1,https://images.brickset.com/sets/small/4519-1.jpg,https://images.brickset.com/sets/images/4519-1.jpg
3458-1,2x4 black bricks,bulk bricks,unknown,basic,normal,False,2000,2000,50,0,0,6.99,https://brickset.com/sets/3458-1,https://images.brickset.com/sets/small/3458-1.jpg,https://images.brickset.com/sets/images/3458-1.jpg
3461-1,2x4 dark green bricks,bulk bricks,unknown,basic,normal,False,2000,2000,50,0,0,6.99,https://brickset.com/sets/3461-1,https://images.brickset.com/sets/small/3461-1.jpg,https://images.brickset.com/sets/images/3461-1.jpg
3462-1,2x4 red bricks,bulk bricks,unknown,basic,normal,False,2000,2000,50,0,0,6.99,https://brickset.com/sets/3462-1,https://images.brickset.com/sets/small/3462-1.jpg,https://images.brickset.com/sets/images/3462-1.jpg
3470-1,1x4 white bricks,bulk bricks,unknown,basic,normal,False,2000,2000,50,0,0,5.99,https://brickset.com/sets/3470-1,https://images.brickset.com/sets/small/3470-1.jpg,https://images.brickset.com/sets/images/3470-1.jpg
3485-1,2x4 red plates,bulk bricks,unknown,basic,normal,False,2000,2000,100,0,0,8.99,https://brickset.com/sets/3485-1,https://images.brickset.com/sets/small/3485-1.jpg,https://images.brickset.com/sets/images/3485-1.jpg
3489-1,2x8 black plates,bulk bricks,unknown,basic,normal,False,2000,2000,25,0,0,4.99,https://brickset.com/sets/3489-1,https://images.brickset.com/sets/small/3489-1.jpg,https://images.brickset.com/sets/images/3489-1.jpg
3731-1,pumpkin pack,bulk bricks,seasonal,basic,normal,False,2000,2000,87,0,0,9.99,https://brickset.com/sets/3731-1,https://images.brickset.com/sets/small/3731-1.jpg,https://images.brickset.com/sets/images/3731-1.jpg
3732-1,castle expander pack,bulk bricks,castle,basic,normal,False,2000,2000,24,0,0,4.99,https://brickset.com/sets/3732-1,https://images.brickset.com/sets/small/3732-1.jpg,https://images.brickset.com/sets/images/3732-1.jpg
3734-1,blue train windows with panes,bulk bricks,trains,basic,normal,False,2000,2000,20,0,0,5.99,https://brickset.com/sets/3734-1,https://images.brickset.com/sets/small/3734-1.jpg,https://images.brickset.com/sets/images/3734-1.jpg
B003-1,"1x4x6 red door and frames, transparent green panes",bulk bricks,unknown,basic,other,False,2000,2000,10,0,0,9.99,https://brickset.com/sets/B003-1,https://images.brickset.com/sets/small/B003-1.jpg,https://images.brickset.com/sets/images/B003-1.jpg
B005-1,"2 x 4 ridge roof tiles, low sloped red",bulk bricks,unknown,basic,other,False,2000,2000,25,0,0,4.99,https://brickset.com/sets/B005-1,https://images.brickset.com/sets/small/B005-1.jpg,https://images.brickset.com/sets/images/B005-1.jpg
3750-1,life on mars accessories,bulk bricks,space,basic,normal,False,2001,2000,48,0,0,4.99,https://brickset.com/sets/3750-1,https://images.brickset.com/sets/small/3750-1.jpg,https://images.brickset.com/sets/images/3750-1.jpg
10010-1,assorted yellow bricks,bulk bricks,unknown,basic,normal,False,2001,2000,62,0,0,4.99,https://brickset.com/sets/10010-1,https://images.brickset.com/sets/small/10010-1.jpg,https://images.brickset.com/sets/images/10010-1.jpg
10011-1,assorted blue plates,bulk bricks,unknown,basic,normal,False,2001,2000,42,0,0,4.99,https://brickset.com/sets/10011-1,https://images.brickset.com/sets/small/10011-1.jpg,https://images.brickset.com/sets/images/10011-1.jpg
10015-1,green passenger wagon,trains,9v,modern day,normal,False,2001,2000,194,0,0,19.99,https://brickset.com/sets/10015-1,https://images.brickset.com/sets/small/10015-1.jpg,https://images.brickset.com/sets/images/10015-1.jpg
10114-1,2 x 2 sand red roof tile,bulk bricks,unknown,basic,normal,False,2001,2000,100,0,0,7.99,https://brickset.com/sets/10114-1,https://images.brickset.com/sets/small/10114-1.jpg,https://images.brickset.com/sets/images/10114-1.jpg
10115-1,jumper bricks,bulk bricks,unknown,basic,normal,False,2001,2000,80,0,4,4.99,https://brickset.com/sets/10115-1,https://images.brickset.com/sets/small/10115-1.jpg,https://images.brickset.com/sets/images/10115-1.jpg
4109-1,"road plates, curved",town,accessories,modern day,normal,False,2002,2000,2,0,0,6.99,https://brickset.com/sets/4109-1,https://images.brickset.com/sets/small/4109-1.jpg,https://images.brickset.com/sets/images/4109-1.jpg
